D,D,D,H,S,H,H,S,D,H
D,S,H,D,D,H,H,H,H,H
H,H,H,D,D,H,H,H,H,H
H,H,H,H,D,D,H,H,H,H
D,D,D,D,D,D,H,H,H,H
D,D,D,D,D,D,D,H,H,H
D,D,D,D,D,D,D,D,H,H
D,D,D,D,D,D,D,D,D,H
H,S,H,S,S,H,H,H,H,H
S,S,S,S,S,H,H,H,H,H
S,H,S,S,S,H,H,S,H,H
S,S,S,S,S,H,H,H,H,H
S,S,S,S,S,H,H,H,H,H
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
D,S,D,D,D,D,H,H,H,H
D,D,D,D,D,H,H,D,H,H
D,D,D,H,D,D,H,H,H,H
H,D,D,D,D,H,H,H,H,H
H,S,D,D,D,S,H,H,H,H
D,S,D,S,D,S,D,H,H,H
S,D,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
S,S,S,S,S,S,S,S,S,S
P,P,P,P,P,P,P,P,P,H
H,H,P,H,P,P,P,H,H,H
P,P,P,D,H,P,P,D,H,H
H,S,D,D,P,D,D,S,H,H
H,D,D,D,D,D,D,D,D,H
P,P,P,P,P,H,S,P,H,S
P,P,H,P,S,H,H,H,S,S
P,P,S,P,P,P,H,H,S,H
S,S,P,P,P,S,P,S,S,S
S,S,S,S,S,S,S,S,S,S